# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_rare_amino_acid_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	15	115	209	66	0	36	3	0	14	1	0	2	0	0	0	9	0	16	206	0	0	0	0	0	0	1	0	5	0	1	111	0
A4GALT	ENSG00000128274	ENST00000381278	protein_coding	15	115	209	66	0	36	3	0	14	1	0	2	0	0	0	9	0	16	206	0	0	0	0	0	0	1	0	5	0	1	111	0
A4GALT	ENSG00000128274	ENST00000401850	protein_coding	15	115	209	66	0	36	3	0	14	1	0	2	0	0	0	9	0	16	206	0	0	0	0	0	0	1	0	5	0	1	111	0
A4GALT	ENSG00000128274	ENST00000465765	processed_transcript	0	0	0	402	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	ENSG00000128274	ENST00000483026	processed_transcript	0	1	0	401	0	0	0	0	0	0	0	0	0	379	0	0	0	16	0	7	0	0	0	0	1	0	0	0	0	0	0	0
A4GALT	ENSG00000128274	ENST00000642412	protein_coding	15	115	209	66	0	36	3	0	14	1	0	2	0	0	0	9	0	16	206	0	0	0	0	0	0	1	0	5	0	1	111	0
AC000029.1	ENSG00000275635	ENST00000459276	snRNA	0	0	0	343	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260
AC000029.2	ENSG00000283438	ENST00000635920	misc_RNA	0	0	0	134	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
AC000035.1	ENSG00000282816	ENST00000634116		1	9	0	556	0	0	0	0	0	0	0	0	0	27	0	0	0	186	0	147	0	0	1	0	9	0	0	0	0	0	0	206
AC000036.1	ENSG00000225929	ENST00000449652		0	0	0	425	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269
AC000050.1	ENSG00000212569	ENST00000391267	misc_RNA	0	0	0	89	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.3	ENSG00000286508	ENST00000661649		0	0	0	436	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	ENSG00000185065	ENST00000431090		0	0	0	1172	0	0	0	0	0	0	0	0	0	672	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	498
AC000068.2	ENSG00000273212	ENST00000608816		0	0	0	713	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	557
AC000068.3	ENSG00000273300	ENST00000607934		0	0	0	899	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	540
AC000072.1	ENSG00000286367	ENST00000658236		0	0	0	359	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	87
AC000078.1	ENSG00000232926	ENST00000420617	processed_pseudogene	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
AC000081.1	ENSG00000230194	ENST00000433141	processed_pseudogene	0	0	0	378	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144
AC000081.2	ENSG00000251940	ENST00000516131	snoRNA	0	0	0	112	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	ENSG00000287652	ENST00000661478		0	0	0	846	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623
AC000085.1	ENSG00000287146	ENST00000664918		0	0	0	238	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102
AC000089.1	ENSG00000235776	ENST00000424559	processed_pseudogene	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
AC000093.1	ENSG00000284874	ENST00000431044	nonsense_mediated_decay	3	67	0	1612	0	325	12	0	55	0	0	0	0	0	0	0	0	530	0	567	0	0	0	3	55	0	0	0	0	0	0	193
AC000093.1	ENSG00000284874	ENST00000455843	nonsense_mediated_decay	2	76	0	1562	0	186	21	0	143	0	0	0	0	139	0	0	0	465	0	546	0	0	0	2	55	0	0	0	0	0	0	140
AC002056.2	ENSG00000254499	ENST00000532913		0	0	0	514	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245
AC002059.1	ENSG00000273216	ENST00000608014		0	0	0	584	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.2	ENSG00000280968	ENST00000625572	miRNA	0	0	0	753	0	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
AC002073.1	ENSG00000202019	ENST00000365149	misc_RNA	0	0	0	48	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002470.1	ENSG00000272829	ENST00000610278		0	0	0	898	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
AC002470.2	ENSG00000285314	ENST00000479606		46	131	0	3123	0	0	0	0	0	0	0	0	0	559	0	0	0	1187	0	906	0	0	14	32	132	0	0	0	0	0	0	649
AC002472.1	ENSG00000226872	ENST00000450652		0	1	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	50	0	0	0	0	1	0	0	0	0	0	0	641
AC002472.2	ENSG00000284060	ENST00000442739	transcribed_unprocessed_pseudogene	0	0	0	559	0	0	0	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.3	ENSG00000284130	ENST00000640124	transcribed_unprocessed_pseudogene	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265
AC003071.2	ENSG00000226573	ENST00000423857	processed_pseudogene	0	0	0	90	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003072.2	ENSG00000288153	ENST00000673554	unprocessed_pseudogene	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
AC003681.1	ENSG00000279159	ENST00000624945		0	0	0	1562	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	1482	0	0	0	0	0	0	0	0	0	0	0	0
AC004264.1	ENSG00000268812	ENST00000608354		0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	267
AC004461.1	ENSG00000206739	ENST00000384012	misc_RNA	0	0	0	305	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220
AC004461.2	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	93	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004461.3	ENSG00000281530	ENST00000629517		0	0	0	384	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291
AC004471.1	ENSG00000223461	ENST00000456035		0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004471.2	ENSG00000272682	ENST00000609936		0	0	0	460	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361
AC004542.4	ENSG00000276057	ENST00000614234	misc_RNA	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274
